#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
4826154.72388,1580,4594.861979
709144.357644,1580,4614.870442
1986691.236404,1580,4636.060789
2818948.908028,1580,4656.530084
2192076.572942,1580,4676.009136
1100720.56719,1580,4698.098888
1670660.1675,1580,4720.489789
1283286.203344,1580,4740.714794
1084896.322811,1580,4763.786286
1180106.69538,1580,4785.506186
1154502.085655,1580,4806.196127
4562568.978956,1580,4828.935421
2023567.835119,1580,4849.153038
1009394.636249,1580,4869.546443
2030764.035816,1580,4893.357736
2223094.995951,1580,4913.832673
2047691.699498,1580,4935.756202
2206550.816142,1580,4957.458077
4543911.871638,1580,4978.196415
1610628.222353,1580,4999.629456
2619780.113117,1580,5021.67857
581640.598519,1580,5041.855296
914466.777723,1580,5063.491678
1142644.342823,1580,5088.752048
1215847.816602,1580,5109.049543
1358777.824684,1580,5130.223969
1982530.797851,1580,5151.089556
1887492.287387,1580,5170.874924
2241120.118913,1580,5193.201003
1488976.838383,1580,5214.736851
1922130.188902,1580,5235.020201
1660804.972768,1580,5256.606507
973999.751019,1580,5278.089761
1891673.908187,1580,5298.309536
860607.68309,1580,5320.374926
1274816.01131,1580,5341.754313
1077795.835843,1580,5361.498332
1392700.240429,1580,5383.924775
4041081.152531,1580,5404.65758
1631307.213374,1580,5424.699184
1976817.728657,1580,5446.517458
2184994.761669,1580,5467.611265
4631468.506556,1580,5488.002664
1235967.925549,1580,5510.413141
1871628.299996,1580,5530.700347
4186768.793881,1580,5555.015236
749393.28788,1580,5578.438793
2452990.959416,1580,5599.689856
4341872.397982,1580,5623.881395
1689705.636463,1580,5646.319264
4266767.39473,1580,5666.680771
1330179.352147,1580,5687.595583
1668864.040578,1580,5709.802812
848047.414337,1580,5729.859527
3831606.578315,1580,5752.14102
3263761.680403,1580,5773.66468
1946417.848978,1580,5793.814925
4742606.925913,1580,5816.912118
1413364.38674,1580,5838.408442
1196454.43937,1580,5858.73765
1219495.816057,1580,5881.041627
1793655.879504,1580,5902.980427
1756253.550271,1580,5923.598509
886827.01637,1580,5945.788444
1145049.872914,1580,5967.016103
1943646.882115,1580,5986.966789
1857810.195875,1580,6009.143912
1254743.938867,1580,6029.992964
1212187.381103,1580,6050.147576
1398217.790806,1580,6072.519075
1210888.887169,1580,6093.215373
955626.520624,1580,6113.749315
515926.960707,1580,6135.991945
887905.888661,1580,6157.438883
2306006.51596,1580,6178.172894
1344580.309008,1580,6200.280762
1958215.037339,1580,6222.083745
1370467.674953,1580,6242.797343
4375526.383145,1580,6265.691227
1069615.89413,1580,6286.340846
694306.651976,1580,6308.236972
1180285.708471,1580,6330.122762
2337986.151121,1580,6350.588058
1897718.128201,1580,6371.865408
4545042.131571,1580,6393.982732
973512.03744,1580,6414.474494
1525073.071897,1580,6435.866999
4387565.799044,1580,6457.998918
1754152.379103,1580,6478.736061
1208621.594522,1580,6504.061016
784026.530014,1580,6525.162931
2036760.569387,1580,6545.280169
1304392.020573,1580,6566.674033
807907.475839,1580,6588.270314
1825142.835338,1580,6608.640109
969716.348563,1580,6631.678014
987212.949895,1580,6653.408055
489748.380594,1580,6673.708258
1725817.667888,1580,6695.32489
2505753.256049,1580,6716.798426
983946.506769,1580,6737.154618
807928.015706,1580,6759.887748
1334884.328619,1580,6780.722607
1857252.188135,1580,6801.561303
2208014.301775,1580,6824.482416
634632.240975,1580,6845.410533
1249609.47506,1580,6865.523468
1907367.362362,1580,6888.525977
828238.629166,1580,6909.889349
1789600.747325,1580,6930.708379
765495.641059,1580,6953.976321
1014386.145099,1580,6974.598416
856851.803109,1580,6996.416482
1942661.863837,1580,7019.37099
613489.806224,1580,7040.191504
1372308.236221,1580,7061.894517
2312146.237072,1580,7083.87256
1227392.795977,1580,7104.487354
967011.508088,1580,7126.134788
1166261.021509,1580,7147.676287
1324711.741441,1580,7169.356805
1039056.646354,1580,7191.816555
3258570.04769,1580,7214.604977
837416.441257,1580,7235.466236
3935985.828834,1580,7258.848864
715054.780641,1580,7281.635251
1190561.801959,1580,7302.423493
1150630.079444,1580,7325.790307
1365677.773889,1580,7347.760983
835836.255251,1580,7368.455874
1874450.460357,1580,7391.449049
1486302.941449,1580,7413.533835
852773.269079,1580,7435.988571
2199758.140212,1580,7458.727686
1020818.637267,1580,7480.066531
843457.803623,1580,7500.875934
1153180.748309,1580,7523.566223
2030232.285888,1580,7545.097863
1589164.691998,1580,7566.358006
1382159.115554,1580,7590.944304
585200.398124,1580,7613.583889
2313221.408165,1580,7634.298192
784567.909525,1580,7657.245837
852892.099151,1580,7677.36297
634243.443007,1580,7698.481794
744582.551318,1580,7720.619373
906733.225773,1580,7742.136579
1311677.138121,1580,7764.168513
4575072.775093,1580,7786.194658
4974569.407091,1580,7808.173739
1648345.794134,1580,7830.794232
1748914.514831,1580,7853.140902
1626999.082912,1580,7873.994309
875717.409088,1580,7896.933614
4370390.38867,1580,7919.574731
4562568.978956,1580,7940.387432
1383403.083144,1580,7962.889604
1247792.38083,1580,7985.77449
1989348.369037,1580,8006.715864
2136568.532061,1580,8029.429077
1017942.425471,1580,8051.46395
3416198.428138,1580,8074.029215
1857459.761975,1580,8097.554881
1620968.520948,1580,8119.803655
2001761.027173,1580,8140.780735
792597.077357,1580,8163.509936
1343103.494413,1580,8185.092144
2581550.334002,1580,8208.840471
1405660.477914,1580,8232.191284
925141.645725,1580,8253.909392
4565145.744607,1580,8275.109001
1259530.372417,1580,8298.812969
850075.924862,1580,8321.301737
1561267.072447,1580,8342.744554
4505529.68274,1580,8366.329777
1194149.270994,1580,8389.282114
1295605.793873,1580,8411.986976
1623548.482722,1580,8434.969437
1858712.154,1580,8456.303846
2018671.612253,1580,8478.997287
2004862.634121,1580,8501.594541
4539218.027301,1580,8522.393486
2410771.215211,1580,8545.070187
1271935.590311,1580,8566.400549
1040783.219367,1580,8587.191598
1161293.851285,1580,8609.964713
1894551.802736,1580,8632.115149
896417.04515,1580,8652.933544
2143695.828496,1580,8675.455033
1067798.5221,1580,8698.530506
879071.797079,1580,8720.216405
4562568.978956,1580,8743.119101
1195854.292922,1580,8766.308833
902589.522133,1580,8787.254002
799173.264556,1580,8810.39168
2019147.174542,1580,8831.830099
1416456.50557,1580,8852.538544
1461980.305229,1580,8874.966009
1298967.667254,1580,8896.574754
1058512.104906,1580,8918.434179
1472122.622367,1580,8941.622461
2325073.294252,1580,8963.374409
4438104.706272,1580,8984.079445
1488062.121328,1580,9007.700581
4678301.749341,1580,9029.397218
4566165.154815,1580,9050.509067
1839934.181249,1580,9073.973112
4617597.178856,1580,9095.190943
4355254.722625,1580,9117.154753
4480781.253679,1580,9139.697898
4345248.514592,1580,9161.495758
4575072.775093,1580,9186.843276
777803.691705,1580,9209.876109
4631468.506556,1580,9231.281458
4345250.086655,1580,9253.981573
2162261.10454,1580,9276.204046
2882078.224789,1580,9297.040118
4355254.722625,1580,9319.697935
1478610.202314,1580,9342.484312
4345248.514592,1580,9363.859226
4575072.775093,1580,9386.574978
